"","DEVICE_TYPE_W114","LANG_W114","FORM_W114","XRELIG_W114","CONF_a_W114","CONF_b_W114","CONF_c_W114","CONF_d_W114","CONF_e_W114","CONF_f_W114","CONF_g_W114","CONF_i_W114","CONF_j_W114","WINLOSE_W114","SCI_US1_W114","SCI_US2_W114","SCI_US3_W114","POLICY1_W114","POLICY1B_W114","POLICY2_W114","POLICY3_W114","MH_TRACK_a_W114","MH_TRACK_b_W114","MH_TRACK_c_W114","MH_TRACK_d_W114","MH_TRACK_e_W114","COVIDEGFP_a_W114","COVIDEGFP_b_W114","COVIDEGFP_c_W114","COVIDEGFP_d_W114","COVIDEGFP_g_W114","FAUCI_W114","CVDVAR2_W114","MH_TRACK_CV_W114","HLTHOFCL1_CREDIT_W114","HLTHOFCL1_OWNVIEWS_W114","HLTHOFCL1_UNPREPARED_W114","HLTHOFCL1_SLOW_W114","HLTHOFCL1_ASWELL_W114","HLTHOFCL1_FACTS_W114","HLTHOFCL1_DISMISS_W114","HLTHOFCL1_INTERFERE_W114","HLTHOFCL2_W114","CVD_PROBS_PARTISAN_W114","CVD_PROBS_COMPLEX_W114","CVD_PROBS_NOCOMPLY_W114","CVD_PROBS_FALSEMIS_W114","CVD_PROBS_OVEREAX_W114","COVID_INFECT_a_W114","COVID_INFECT_b_W114","COVID_VAXDMOD_W114","COVID_BOOST_W114","VAXBOOST3_W114","UKRFOL_W114","UKR_SPRT_W114","UA_CONC_a_W114","UA_CONC_b_W114","UA_CONC_d_W114","UA_CONC_e_W114","UA_CONC_f_W114","CHURCHPOL_W114","REL1_W114","REL2_W114","DIVRELPOP_W114","KEEPOUT_W114","CHURCH_CAND_W114","RELIG_INFL1_W114","RELIG_INFL2_W114","RELIG_FRIENDLY_a_W114","RELIG_FRIENDLY_b_W114","RELIG_FRIENDLY_c_W114","RELIG_FRIENDLY_d_W114","SCOTUS_REL_W114","SCOTUS_RELa_W114","SCTEFFECT_a_W114","SCTEFFECT_b_W114","SCTEFFECT_c_W114","SCTEFFECT_d_W114","SCTEFFECT_e_W114","RELFAV_a_W114","RELFAV_b_W114","RELFAV_c_W114","RELFAV_d_W114","RELFAV_e_W114","RELFAV_f_W114","RELFAV_i_W114","REL4_a_W114","REL4_b_W114","REL4_c_W114","REL4_d_W114","REL4_e_W114","REL4_f_W114","REL4_i_W114","ESSENT_a_W114","ESSENT_b_W114","ESSENT_g_W114","ESSENT_h_W114","ESSENT_i_W114","ESSENT_j_W114","ESSENT_k_W114","BIBLE_INFL1_W114","BIBLE_INFL2_W114","NATCHRa_W114","NATCHRb_W114","NATCHRc_W114","NATCHROE1_W114","NATCHROE2_W114","NATCHROE3_W114","CHRNAT1a_W114","CHRNAT1b_W114","CHRNAT1OE1_W114","CHRNAT1OE2_W114","CHRNAT1OE3_W114","CLIN_TRIAL1_W114","CLIN_TRIAL2_W114","RQ2_F1A_W114","RQ2_SCI_W114","MPX_HEARD_W114","MPX_PERF_W114","MPXTHREAT_MPUBHLTH_W114","MPXTHREAT_MPERSHLTH_W114","MPX_ACTION_W114","MPX_VAX_W114","MHEALTH3_W114","MHEALTH3_W64","MHEALTH3_W66","MHEALTH3_W83","CHRNATa_W84","CHRNATb_W84","CHRNATc_W84","F_METRO","F_CREGION","F_CDIVISION","F_USR_SELFID","F_AGECAT","F_GENDER","F_EDUCCAT","F_EDUCCAT2","F_HISP","F_HISP_ORIGIN","F_YEARSINUS_RECODE","F_RACECMB","F_RACETHNMOD","F_CITIZEN","F_BIRTHPLACE","F_MARITAL","F_RELIG","F_BORN","F_RELIGCAT1","F_ATTEND","F_PARTY_FINAL","F_PARTYLN_FINAL","F_PARTYSUM_FINAL","F_PARTYSUMIDEO_FINAL","F_INC_SDT1","F_REG","F_IDEO","F_INTFREQ","F_VOLSUM","F_INC_TIER2","WEIGHT_W114","trust","COVID_vaccinated"
"936",1,1,1,12,2,2,2,3,2,1,0,2,1,2,1,1,3,2,NA,2,1,1,1,1,3,2,1,3,NA,1,2,1,2,1,1,4,4,4,NA,NA,NA,NA,1,1,3,1,1,1,2,3,1,1,1,1,3,4,4,4,2,2,1,3,3,1,1,2,2,1,2,2,2,2,2,1,1,3,2,1,2,5,4,4,2,3,2,4,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,4,NA,2,2,2,5,20,42,NA,NA,NA,NA,NA,1,1,2,2,3,2,2,2,2,2,1,1,1,1,2,2,2,1,4,9,2,3,1,1,5,2,NA,1,1,1,1,1,1,12,NA,3,6,2,NA,2,3,9,1,3,2,1,3,0.593090981694444,"Y","Y"
"937",2,1,1,1,4,2,3,3,4,3,0,3,3,2,2,1,2,1,NA,2,3,3,2,2,3,2,3,3,NA,3,1,4,2,1,3,3,4,4,NA,NA,NA,NA,2,1,2,2,1,2,3,3,1,2,2,5,4,2,2,2,2,3,3,2,2,3,1,2,2,2,2,1,2,2,2,3,3,2,2,1,2,3,3,3,3,3,3,3,1,1,1,1,1,2,1,1,2,3,2,1,2,1,4,NA,1,1,2,20,NA,NA,NA,NA,NA,NA,NA,1,2,2,2,4,4,1,1,2,2,2,1,1,2,2,2,2,1,3,5,2,2,2,1,6,1,4,1,2,3,1,1,1,1,2,1,5,3,2,2,4,6,1,4,1,2,2,0.420993123271067,"N","Y"
"938",2,1,1,10,3,3,3,4,3,2,0,2,2,2,2,1,3,2,NA,2,3,3,3,2,1,2,3,3,NA,3,3,4,2,1,1,2,1,3,NA,NA,NA,NA,3,1,1,1,1,2,2,2,1,2,2,4,4,3,2,2,2,2,1,1,1,1,1,2,2,1,1,1,1,1,2,1,1,2,2,1,2,3,3,3,3,3,3,3,1,1,2,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,4,NA,2,2,2,20,NA,NA,NA,NA,NA,NA,NA,2,1,3,3,4,5,2,2,2,3,2,2,2,2,2,2,2,1,3,5,2,1,2,2,4,2,NA,1,1,1,1,1,2,10,NA,3,6,3,2,2,4,5,1,4,2,2,2,3.09808384099889,"N","Y"
"939",1,1,1,1,3,3,1,2,2,2,0,2,1,1,1,1,2,1,NA,1,3,4,4,4,2,4,4,4,NA,4,3,2,2,1,4,4,4,4,NA,NA,NA,NA,4,3,3,3,2,3,4,4,3,2,NA,2,2,3,4,2,2,2,3,3,2,2,2,2,2,2,3,1,3,2,2,3,3,3,1,2,1,2,2,2,3,5,2,2,2,1,2,2,2,1,1,1,2,1,1,2,2,2,3,NA,1,2,1,99,NA,NA,NA,NA,NA,NA,NA,2,1,2,2,4,3,3,3,2,4,3,3,3,NA,2,2,2,2,2,3,3,3,1,1,6,2,NA,1,1,1,1,1,5,1,2,1,5,1,NA,1,1,1,1,2,1,1,1,0.232600849828367,"N","N"
"940",2,1,2,12,3,2,2,3,3,2,2,2,2,1,1,1,1,NA,2,1,1,1,3,3,1,2,2,NA,2,2,2,1,2,1,NA,NA,NA,NA,3,4,5,4,2,3,2,2,2,3,4,4,1,1,1,1,2,4,3,4,3,2,1,99,3,1,1,2,2,1,1,1,1,1,2,1,1,2,2,3,3,4,4,4,4,4,3,4,1,1,1,1,2,1,1,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,1,1,0,1,2,3,2,3,2,3,2,2,3,1,2,2,2,1,4,9,3,3,1,2,4,2,NA,1,1,1,1,1,3,12,NA,3,6,2,NA,2,4,1,1,4,4,2,1,0.951832044059289,"N","Y"
"941",2,1,2,1,4,4,3,3,3,3,3,3,2,2,1,2,2,NA,1,1,2,2,2,1,3,1,4,NA,2,4,2,2,2,1,NA,NA,NA,NA,4,1,1,2,4,2,3,4,1,1,4,4,3,3,NA,3,1,4,4,4,4,4,3,3,3,3,2,2,2,3,3,2,3,2,1,2,3,3,3,3,3,2,2,3,3,3,3,2,1,1,1,1,2,1,1,1,1,3,2,1,1,1,2,1,NA,NA,NA,NA,NA,NA,3,5,67,NA,NA,1,2,0,1,1,2,2,3,2,4,1,1,1,1,2,9,2,1,2,3,2,2,1,2,4,2,NA,1,1,1,1,1,1,1,2,1,2,3,1,1,1,7,1,2,2,1,2,0.945813564865758,"N","N"
"942",2,1,1,2,3,2,1,3,2,1,0,2,1,2,2,1,3,1,NA,2,3,3,2,1,1,3,3,2,NA,1,2,1,2,1,3,5,1,1,NA,NA,NA,NA,4,1,4,1,1,3,3,3,1,2,1,2,2,4,2,1,3,1,1,2,2,1,1,1,2,1,2,1,2,1,2,1,1,2,2,1,2,4,3,3,3,3,3,3,1,1,1,1,1,1,1,3,3,3,3,2,2,3,4,NA,2,1,2,44,NA,NA,NA,NA,NA,NA,NA,2,1,3,3,4,5,2,2,2,2,2,99,3,3,2,2,2,1,1,1,2,3,2,2,3,2,NA,1,1,1,1,1,6,2,2,2,6,3,2,2,3,1,1,3,1,1,1,0.924481489920062,"N","Y"
"943",2,1,2,1,4,3,3,3,3,4,4,2,3,99,2,1,3,NA,1,1,3,1,1,1,1,1,3,NA,3,3,2,2,2,1,NA,NA,NA,NA,3,99,3,99,1,99,4,4,4,4,4,4,3,2,NA,5,4,5,5,5,5,5,3,2,2,3,1,2,2,99,2,2,2,2,2,2,3,3,3,3,3,3,6,3,3,3,6,6,1,1,2,1,1,2,1,1,2,3,2,1,2,1,1,1,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,1,2,0,3,4,2,3,3,2,4,1,1,1,1,9,9,9,1,3,6,2,2,2,2,4,2,NA,1,2,2,1,1,1,1,1,1,4,99,99,9,9,6,1,2,1,1,2,1.53467126419706,"N","N"
"944",2,1,1,1,3,2,2,3,3,1,0,2,3,1,1,1,3,1,NA,2,3,2,1,1,3,2,2,3,NA,2,2,1,2,1,1,4,1,3,NA,NA,NA,NA,2,1,1,1,1,4,2,3,1,1,3,4,2,3,2,3,2,4,1,3,3,1,1,2,2,3,2,1,1,1,2,1,1,2,2,1,2,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,2,3,3,1,3,1,4,NA,2,2,2,3,NA,NA,NA,NA,NA,NA,NA,1,2,1,1,2,2,1,3,2,1,1,2,2,1,2,2,2,1,4,8,2,2,1,1,6,2,NA,1,1,1,1,1,1,1,2,1,5,2,NA,2,4,9,1,4,1,2,3,0.573672053307062,"N","Y"
"945",2,1,1,1,3,3,2,2,3,2,0,2,2,2,2,1,2,2,NA,2,3,2,2,1,2,2,3,3,NA,2,2,4,2,1,3,3,3,3,NA,NA,NA,NA,2,2,2,1,2,2,2,4,3,3,NA,4,1,3,3,3,3,3,3,3,3,3,1,2,2,2,2,2,2,2,2,3,3,3,1,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,2,2,1,1,2,1,2,2,1,2,2,42,NA,NA,NA,NA,NA,NA,NA,1,1,2,2,3,5,3,3,2,4,1,1,2,1,2,9,9,2,2,3,3,2,2,2,3,2,NA,1,1,1,1,1,1,1,2,1,4,4,99,9,9,4,1,3,2,1,2,1.38247489403491,"N","N"
"946",1,1,2,2,4,4,1,2,2,3,3,3,2,1,1,1,2,NA,3,1,2,2,1,1,2,3,4,NA,2,4,2,2,2,1,NA,NA,NA,NA,3,1,2,3,3,1,2,4,1,1,4,4,1,2,2,2,3,4,1,2,3,1,3,1,2,1,1,2,2,2,3,2,3,2,2,3,3,3,3,3,3,1,1,6,1,6,6,1,1,1,2,1,2,2,1,1,1,2,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,1,1,0,1,2,2,3,3,2,4,1,99,1,NA,1,2,1,1,3,7,2,3,2,1,5,2,NA,1,1,1,1,1,1,2,1,2,2,1,NA,1,1,5,1,1,2,1,2,0.377558558518339,"N","Y"
"947",2,1,2,12,4,3,4,4,3,1,1,2,3,1,1,1,2,NA,2,2,1,1,1,1,1,2,2,NA,2,2,2,1,2,1,NA,NA,NA,NA,1,4,4,4,1,1,1,1,1,4,1,4,1,2,1,3,2,2,2,1,2,4,1,2,1,3,1,2,1,2,2,1,2,1,2,1,1,2,2,2,2,5,4,2,2,2,1,4,2,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,1,5,2,4,NA,2,1,0,1,3,3,3,3,2,2,1,2,2,3,2,9,2,1,1,1,2,2,2,1,6,2,NA,1,1,1,1,1,6,12,NA,3,6,3,2,2,4,9,1,4,1,2,3,0.762051585677589,"N","Y"
"948",2,1,1,1,3,2,1,4,2,2,0,2,1,1,1,1,1,2,NA,1,1,2,2,1,1,2,1,3,NA,2,3,1,1,1,2,2,2,5,NA,NA,NA,NA,1,1,99,1,1,4,2,2,1,1,1,1,2,3,2,2,2,2,1,2,2,1,1,2,1,1,2,3,2,2,2,2,3,3,2,1,2,3,2,5,2,2,4,6,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,2,2,99,NA,NA,NA,NA,NA,NA,NA,2,1,2,2,2,3,1,1,2,1,1,1,3,1,9,2,1,2,4,9,1,4,2,3,2,2,NA,1,5,4,1,1,5,1,1,1,2,2,NA,2,3,1,1,3,NA,1,1,5.16779105008173,"N","Y"
"949",2,1,1,12,3,1,2,3,3,1,0,2,2,2,1,1,3,2,NA,2,3,2,1,1,4,3,1,1,NA,2,1,1,2,1,2,5,3,3,NA,NA,NA,NA,3,2,2,1,1,4,3,4,1,1,1,1,3,1,2,2,2,3,1,1,3,1,1,2,2,3,2,1,2,1,2,1,1,2,2,2,2,3,3,3,3,3,3,3,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,4,NA,2,2,2,23,42,NA,NA,NA,NA,NA,NA,1,1,2,2,2,3,2,2,2,3,1,2,1,1,2,2,2,1,4,8,2,3,2,1,5,2,NA,1,1,1,1,1,3,12,NA,3,5,2,NA,2,4,9,1,4,1,1,2,0.547694243320289,"N","Y"
"950",1,1,2,2,2,2,1,2,2,1,1,2,1,1,1,1,3,NA,3,2,3,2,1,1,2,1,1,NA,1,1,1,1,2,1,NA,NA,NA,NA,3,3,3,3,2,1,2,1,3,2,3,3,1,2,2,3,3,3,3,4,3,4,3,3,3,1,1,2,2,3,1,3,1,2,2,3,3,3,2,3,2,2,1,2,3,2,4,2,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,3,3,71,NA,NA,1,1,0,2,3,2,2,2,2,3,1,1,3,1,9,2,2,1,2,3,3,4,1,3,2,2,NA,1,1,1,1,1,1,2,2,2,4,2,NA,2,4,3,1,4,5,2,2,2.53452956645639,"Y","Y"
"951",2,1,2,2,3,3,1,2,2,2,2,3,1,2,1,1,2,NA,2,2,3,1,1,2,3,2,4,NA,2,2,2,1,2,1,NA,NA,NA,NA,2,4,5,2,2,1,2,1,1,2,4,4,1,2,1,3,1,4,3,2,2,4,3,1,2,3,1,2,2,2,3,1,2,3,2,1,1,3,2,3,2,3,1,3,3,5,3,1,1,1,1,1,1,1,1,1,2,3,2,2,3,2,4,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,1,1,0,1,2,2,2,3,2,3,1,1,1,2,2,2,2,1,1,1,2,2,1,1,5,2,NA,1,1,1,1,1,1,2,2,2,3,3,1,1,2,9,1,3,1,1,3,0.369760915191372,"N","Y"
"952",2,1,1,1,3,2,2,2,3,1,0,1,3,1,2,1,2,1,NA,2,1,3,2,3,2,4,1,4,NA,2,2,1,2,2,2,4,3,3,NA,NA,NA,NA,3,1,1,1,1,3,2,3,1,3,1,4,3,2,1,2,3,3,1,1,1,1,1,2,1,2,2,1,2,1,2,1,1,2,2,1,2,4,3,5,3,3,3,3,1,1,2,1,1,2,1,1,3,3,3,2,3,2,4,NA,2,2,2,60,NA,NA,NA,NA,NA,NA,NA,1,1,3,3,4,5,3,3,2,3,3,3,3,3,2,2,2,1,3,6,99,2,2,1,6,2,NA,1,1,1,1,1,6,1,2,1,6,2,NA,2,4,1,1,4,2,2,1,0.49001522514966,"N","Y"
"953",2,1,2,12,3,2,2,3,4,2,2,2,3,1,1,1,3,NA,2,2,3,2,2,2,1,4,2,NA,2,3,1,1,1,1,NA,NA,NA,NA,3,5,5,1,3,1,2,1,2,4,1,2,1,2,1,2,3,2,4,3,1,2,1,3,3,1,1,2,2,3,2,1,2,1,2,1,1,2,2,3,2,4,3,4,2,2,1,3,1,1,2,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,2,5,1,4,NA,1,2,0,2,4,5,2,3,2,2,2,3,3,2,2,2,2,1,2,3,1,2,1,1,6,2,NA,1,1,1,1,1,3,12,NA,3,6,2,NA,2,4,9,1,5,1,1,2,0.522041095502113,"N","Y"
"954",1,1,2,1,3,4,2,3,3,3,3,3,2,1,2,1,3,NA,3,1,3,1,1,1,2,1,4,NA,2,3,1,2,2,1,NA,NA,NA,NA,5,3,1,1,4,3,1,3,1,1,4,3,1,2,2,2,3,4,2,2,3,2,3,2,2,1,1,2,2,2,3,2,3,2,2,3,2,1,1,3,3,3,3,5,2,3,4,4,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,2,2,0,1,3,2,2,3,2,3,1,1,1,1,2,2,2,1,3,5,2,4,1,1,6,2,NA,1,1,1,1,1,1,1,1,1,2,3,1,1,2,9,1,3,1,1,3,0.237092967440966,"N","Y"
"955",2,1,2,12,3,4,1,4,3,3,3,4,3,2,3,2,2,NA,1,1,2,1,2,1,1,3,4,NA,4,4,3,3,2,1,NA,NA,NA,NA,5,1,1,5,4,1,4,4,1,1,4,4,3,3,NA,4,1,2,5,5,5,5,1,3,3,3,1,2,2,1,3,1,3,2,2,3,3,3,3,3,3,3,3,3,3,3,2,6,2,1,2,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,1,1,0,2,3,3,3,3,2,4,1,99,1,1,2,9,2,1,2,3,2,3,1,3,2,1,7,1,1,3,1,1,2,12,NA,3,6,1,NA,1,2,7,1,3,2,2,2,3.11909707850222,"N","N"
"956",2,1,2,6,3,2,1,3,3,1,1,2,2,1,2,1,3,NA,3,1,1,3,1,1,3,1,3,NA,3,2,3,3,1,3,NA,NA,NA,NA,3,3,3,3,2,2,2,2,2,2,2,2,3,3,NA,3,3,3,3,3,3,3,2,2,2,2,2,1,1,3,1,1,1,1,2,1,1,3,2,1,2,6,6,6,6,6,6,6,2,2,2,2,2,2,2,2,2,1,1,1,1,NA,1,1,NA,NA,NA,NA,NA,NA,2,3,99,NA,NA,2,1,0,2,2,3,3,3,2,3,2,1,1,2,9,99,9,1,3,7,1,2,1,1,5,2,NA,3,3,5,1,4,1,6,NA,4,3,3,2,2,4,5,1,4,5,2,2,2.01093885987096,"N","N"
"957",1,1,2,12,3,4,1,2,2,2,2,3,1,2,2,1,3,NA,1,1,3,1,1,1,3,1,3,NA,3,4,2,2,2,1,NA,NA,NA,NA,4,1,2,3,4,3,3,3,1,1,3,3,3,3,NA,3,2,2,3,2,3,3,3,3,2,1,1,2,1,3,3,1,3,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,3,3,99,NA,NA,1,1,0,2,3,5,3,3,2,4,1,1,1,1,2,2,2,1,3,7,3,4,1,2,3,2,NA,1,1,1,1,1,1,12,NA,3,4,3,1,1,1,9,1,2,2,2,2,0.296911770186521,"N","N"
"958",2,1,2,6,1,1,1,3,1,1,1,1,1,1,1,1,3,NA,3,2,1,1,1,1,3,1,1,NA,1,1,1,1,2,1,NA,NA,NA,NA,3,1,3,3,1,3,2,2,2,3,2,4,1,1,1,1,3,4,1,1,1,1,2,1,3,1,1,2,2,1,2,1,2,1,2,1,1,2,2,3,2,3,3,3,3,3,3,3,2,1,2,1,1,1,2,1,2,1,2,1,2,NA,3,NA,NA,NA,NA,NA,NA,NA,3,4,50,65,NA,1,1,0,3,2,1,3,3,2,2,1,2,NA,1,2,2,2,1,2,3,1,4,1,2,4,2,NA,4,3,5,1,4,1,6,NA,4,3,2,NA,2,4,5,1,5,1,2,2,0.687270875646438,"Y","Y"
"959",1,1,2,1,3,4,2,2,2,3,3,2,1,2,1,2,3,NA,2,1,3,1,1,1,3,3,4,NA,2,4,2,2,1,1,NA,NA,NA,NA,4,5,5,4,4,1,1,1,1,1,3,3,3,3,NA,2,2,1,1,1,1,1,3,2,2,2,1,2,2,2,3,1,3,1,2,3,3,3,3,3,3,1,1,6,6,6,6,1,1,1,2,2,2,2,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,2,1,0,2,4,3,2,3,2,4,1,1,1,NA,1,1,1,1,2,3,3,4,2,2,3,2,NA,1,1,1,1,1,3,1,1,1,2,1,NA,1,1,1,1,2,1,2,1,0.333720050500108,"N","N"
"960",1,1,2,2,4,4,1,4,4,2,2,1,1,2,1,2,2,NA,3,2,1,1,1,1,1,1,4,NA,2,3,2,2,2,1,NA,NA,NA,NA,3,3,3,5,4,1,3,4,1,1,3,4,1,1,2,3,3,4,4,2,2,3,1,3,3,1,1,2,2,3,3,2,3,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,2,1,2,1,1,2,2,1,2,1,2,2,3,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,1,2,0,2,3,2,3,3,2,3,1,1,1,NA,2,2,2,1,2,3,3,4,1,1,5,2,NA,1,1,1,1,1,3,2,2,2,5,1,NA,1,1,1,1,2,3,1,1,0.328359388230665,"N","Y"
"961",2,1,2,10,4,4,2,4,4,3,3,4,2,2,1,2,2,NA,1,1,1,1,1,2,1,3,4,NA,4,4,2,2,2,1,NA,NA,NA,NA,2,2,2,4,2,1,1,1,1,1,4,4,3,3,NA,3,3,3,5,5,3,4,1,1,2,1,1,2,2,1,3,2,3,3,2,1,3,2,2,3,1,3,4,3,2,4,2,3,1,1,2,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,1,1,0,2,3,3,2,3,2,4,1,1,1,2,2,2,9,1,1,2,1,3,1,3,2,1,2,4,2,3,1,2,4,10,NA,3,6,4,1,1,9,1,3,99,3,2,1,1.70923478894678,"N","N"
"962",2,1,2,12,3,4,2,3,4,2,2,2,3,2,2,1,2,NA,2,2,2,3,2,2,3,2,2,NA,3,2,2,1,2,1,NA,NA,NA,NA,3,1,3,2,2,1,2,1,1,4,2,4,1,2,2,4,2,3,2,2,3,3,1,3,1,1,1,2,1,2,2,1,2,1,2,1,1,2,2,3,2,4,5,4,2,3,1,6,1,1,1,1,2,1,2,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,1,1,0,1,3,5,2,3,2,3,2,2,2,1,2,2,2,1,4,9,2,2,1,1,6,2,NA,2,1,1,2,4,1,12,NA,3,6,2,NA,2,4,9,NA,4,1,2,3,2.71003834105261,"N","Y"
"963",2,1,1,9,4,3,3,4,4,2,0,2,4,2,1,1,2,1,NA,2,1,1,2,2,1,4,2,2,NA,2,2,1,2,1,2,4,3,4,NA,NA,NA,NA,3,2,2,1,1,3,3,3,1,2,1,3,3,2,3,2,3,3,1,3,1,1,1,2,2,1,1,1,1,1,2,1,1,2,2,1,2,5,5,5,3,4,1,4,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,4,NA,2,2,2,42,NA,NA,NA,NA,NA,NA,NA,1,2,1,1,2,2,2,2,1,2,2,2,1,2,2,9,2,2,3,5,2,2,3,2,3,2,NA,4,1,1,1,4,6,9,NA,3,6,3,2,2,4,1,3,5,1,2,1,4.73063423398648,"N","Y"
"964",2,1,2,12,3,2,2,4,3,1,1,2,4,2,1,1,2,NA,2,2,1,3,3,1,2,2,3,NA,3,3,3,3,2,1,NA,NA,NA,NA,4,3,3,2,3,1,1,1,1,2,2,3,1,2,1,2,3,2,2,1,1,2,1,2,1,1,1,2,1,2,2,1,2,1,2,1,1,2,2,2,2,4,3,4,3,3,3,3,2,1,2,2,2,1,2,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,3,5,21,NA,NA,1,1,0,1,3,3,2,2,1,2,2,2,3,3,2,2,2,1,1,1,3,2,1,1,5,2,NA,1,1,1,1,1,1,12,NA,3,6,2,NA,2,4,6,2,4,1,2,2,1.88420523363359,"N","Y"
"965",2,1,1,11,4,3,3,4,4,3,0,4,4,2,2,2,2,2,NA,1,1,1,1,1,2,2,2,2,NA,2,2,4,2,1,3,1,1,5,NA,NA,NA,NA,4,1,3,2,1,1,4,4,3,3,NA,3,1,1,5,5,5,5,1,2,2,1,1,2,1,2,1,1,1,1,2,1,1,2,3,3,3,5,5,5,3,3,1,5,1,1,1,2,2,1,2,3,3,3,1,1,1,NA,4,NA,2,1,2,42,40,70,NA,NA,NA,NA,NA,2,2,2,2,1,2,2,3,2,4,1,1,1,1,2,2,2,2,4,8,2,2,2,3,1,2,NA,1,5,4,1,1,2,11,NA,4,6,3,2,2,3,1,1,1,NA,2,1,4.71442359214468,"N","N"
"966",2,1,1,2,3,4,2,2,2,3,0,3,2,2,1,1,3,2,NA,2,3,1,1,1,2,3,4,1,NA,3,2,2,2,1,4,1,1,2,NA,NA,NA,NA,4,1,3,3,1,1,3,3,1,1,1,1,2,4,2,1,2,2,3,1,2,2,1,2,2,2,3,1,3,1,2,3,3,3,3,3,3,2,2,3,3,5,4,2,1,1,1,1,2,2,1,1,2,2,1,1,2,2,2,2,1,1,1,99,NA,NA,NA,NA,NA,NA,NA,1,1,2,2,1,2,3,3,2,3,1,1,1,1,2,1,2,1,3,5,2,4,1,1,5,2,NA,1,1,1,1,1,6,2,2,2,3,1,NA,1,1,5,1,1,2,1,2,0.19649410083449,"N","Y"
"967",1,1,2,2,3,3,2,1,2,2,2,1,1,2,2,1,3,NA,2,1,1,1,1,1,2,1,4,NA,2,3,1,3,1,1,NA,NA,NA,NA,3,4,1,4,3,2,2,3,1,99,2,3,3,2,NA,3,2,3,4,2,3,2,2,1,2,2,2,1,2,2,3,2,3,1,1,3,1,3,1,1,3,2,1,4,2,5,3,2,1,1,2,2,2,1,1,1,1,2,2,1,2,1,1,1,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,1,1,0,2,4,2,3,3,2,4,1,1,1,1,1,1,1,2,2,4,3,2,1,1,5,2,NA,1,1,1,1,1,1,2,2,2,1,1,NA,1,1,4,1,1,2,1,2,0.877107428990451,"N","N"
"968",1,1,2,2,1,2,1,1,2,1,1,1,1,1,2,1,1,NA,3,2,1,1,1,1,4,1,1,NA,1,1,1,1,1,1,NA,NA,NA,NA,1,4,4,3,1,3,2,1,3,4,4,4,1,2,1,3,3,2,3,2,2,3,3,2,3,2,1,2,1,1,2,2,2,2,2,3,3,3,3,3,3,3,1,3,3,3,5,2,1,1,2,1,2,1,1,1,1,1,1,1,1,1,2,2,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,1,2,0,3,3,1,2,2,2,3,1,1,1,1,2,2,2,2,2,4,3,4,2,3,2,2,NA,1,1,1,1,1,1,2,2,2,2,3,2,2,3,3,1,3,3,1,2,0.648919060087854,"Y","Y"
